
=======================================
          Commercial License
         Artelys Knitro 12.2.0
=======================================

Knitro presolve eliminated 0 variables and 0 constraints.

bar_feasible:            3
cg_maxit:               50
derivcheck_tol:          0.0001
feastol:                 0.0001
feastol_abs:             0.0001
initpenalty              1
maxit:                   100
opttol:                  0.0001
outlev:                  3
outmode:                 2
par_concurrent_evals:    0
Knitro changing algorithm from AUTO to 1.
Knitro changing bar_initpt from AUTO to 3.
Knitro changing bar_murule from AUTO to 4.
Knitro changing bar_penaltycons from AUTO to 2.
Knitro changing bar_penaltyrule from AUTO to 2.
Knitro changing bar_switchrule from AUTO to 0.
Knitro changing linesearch from AUTO to 1.
Knitro changing linsolver from AUTO to 5.

Problem Characteristics                                 (   Presolved)
-----------------------
Objective goal:  Minimize
Objective type:  general
Number of variables:                               7602 (        7602)
    bounded below only:                               0 (           0)
    bounded above only:                               0 (           0)
    bounded below and above:                       7602 (        7602)
    fixed:                                            0 (           0)
    free:                                             0 (           0)
Number of constraints:                             6848 (       13696)
    linear equalities:                                0 (           0)
    quadratic equalities:                             0 (           0)
    gen. nonlinear equalities:                        0 (           0)
    linear one-sided inequalities:                    0 (           0)
    quadratic one-sided inequalities:                 0 (           0)
    gen. nonlinear one-sided inequalities:            0 (       13696)
    linear two-sided inequalities:                    0 (           0)
    quadratic two-sided inequalities:                 0 (           0)
    gen. nonlinear two-sided inequalities:         6848 (           0)
Number of nonzeros in Jacobian:                  239440 (      478880)
Number of nonzeros in Hessian:                        0 (           0)

  Iter      Objective      FeasError   OptError    ||Step||    CGits 
--------  --------------  ----------  ----------  ----------  -------
       0    2.231367e+01   0.000e+00
      70    4.948245e-05   0.000e+00   9.347e-04   2.162e-03        0
      71    4.537795e-05   0.000e+00   8.929e-04   2.946e-03        0
      72    4.301864e-05   0.000e+00   9.892e-04   1.932e-03        0
      73    4.131478e-05   0.000e+00   3.656e-04   1.144e-03        0
      74    4.184444e-05   0.000e+00   7.531e-04   2.233e-03        0
      75    3.989197e-05   0.000e+00   3.575e-04   1.862e-03        0
      76    3.851314e-05   0.000e+00   3.904e-04   9.710e-04        0
      77    3.849419e-05   0.000e+00   5.898e-04   1.626e-03        0
      78    3.707770e-05   0.000e+00   3.105e-04   9.256e-04        0
      79    3.608588e-05   0.000e+00   2.849e-04   1.078e-03        0
      80    3.544011e-05   0.000e+00   3.276e-04   1.592e-03        0
      81    3.530772e-05   0.000e+00   3.461e-04   1.797e-03        0
      82    3.453510e-05   0.000e+00   4.505e-04   1.992e-03        0
      83    3.377439e-05   0.000e+00   4.797e-04   5.064e-03        0
      84    3.238467e-05   0.000e+00   4.238e-04   4.683e-04      128
      85    3.126340e-05   0.000e+00   3.890e-04   1.263e-03        0
      86    3.150354e-05   0.000e+00   3.908e-04   2.632e-03        0
      87    3.088000e-05   0.000e+00   3.576e-04   9.955e-04        0
      88    3.008787e-05   0.000e+00   4.010e-04   1.126e-03        0
      89    2.915794e-05   0.000e+00   2.705e-04   7.717e-04        0
      90    2.874594e-05   0.000e+00   2.368e-04   9.604e-04        0
      91    2.842140e-05   0.000e+00   2.908e-04   1.228e-03        0
      92    2.796891e-05   0.000e+00   4.071e-04   7.643e-04        0
      93    2.789614e-05   0.000e+00   4.790e-04   1.238e-03        0
      94    2.702892e-05   0.000e+00   2.176e-04   1.473e-03        0
      95    2.697322e-05   0.000e+00   4.085e-04   2.183e-03        0
      96    2.697945e-05   0.000e+00   5.451e-04   1.310e-03        0
      97    2.575250e-05   0.000e+00   4.153e-04   9.462e-04        0
      98    2.524421e-05   0.000e+00   3.448e-04   1.300e-03        0
      99    2.459384e-05   0.000e+00   2.585e-04   1.012e-03        0
     100    2.404557e-05   0.000e+00   1.868e-04   1.091e-03        0

EXIT: Iteration limit reached. Current point is feasible.

Final Statistics
----------------
Final objective value               =   2.40455656985915e-05
Final feasibility error (abs / rel) =   0.00e+00 / 0.00e+00
Final optimality error  (abs / rel) =   1.87e-04 / 1.87e-04
# of iterations                     =        100 
# of CG iterations                  =        264 
# of function evaluations           =        316
# of gradient evaluations           =        101
Total program time (secs)           =     278.37177 (   755.736 CPU time)
Time spent in evaluations (secs)    =     248.10881

===============================================================================

