WARNING: 2 finite variable bounds are >= bndrange in magnitude.
         These bounds will be treated as infinite in Knitro.
         To impose as finite bounds, increase bndrange user option.
WARNING: 2 finite constraint bounds are >= bndrange in magnitude.
         These bounds will be treated as infinite in Knitro.
         To impose as finite bounds, increase bndrange user option.

=======================================
          Commercial License
         Artelys Knitro 12.2.0
=======================================

Knitro presolve eliminated 0 variables and 1 constraint.

algorithm:               2
bar_feasible:            3
cg_maxit:               50
feastol_abs:             0.0001
maxit:                   100
opttol:                  0.0001
outlev:                  3
outmode:                 2
par_concurrent_evals:    0
Knitro changing bar_initpt from AUTO to 3.
Knitro changing bar_murule from AUTO to 1.
Knitro changing bar_penaltycons from AUTO to 2.
Knitro changing bar_penaltyrule from AUTO to 2.
Knitro changing bar_switchrule from AUTO to 0.
Knitro changing linesearch from AUTO to 1.
Knitro changing linsolver from AUTO to 4.

Problem Characteristics                                 (   Presolved)
-----------------------
Objective goal:  Minimize
Objective type:  general
Number of variables:                               7603 (        7603)
    bounded below only:                               0 (           0)
    bounded above only:                               0 (           0)
    bounded below and above:                       7602 (        7602)
    fixed:                                            0 (           0)
    free:                                             1 (           1)
Number of constraints:                             6880 (        8357)
    linear equalities:                                0 (           0)
    quadratic equalities:                             0 (           0)
    gen. nonlinear equalities:                     5401 (        5401)
    linear one-sided inequalities:                    0 (           0)
    quadratic one-sided inequalities:                 0 (           0)
    gen. nonlinear one-sided inequalities:            1 (        2956)
    linear two-sided inequalities:                    0 (           0)
    quadratic two-sided inequalities:                 0 (           0)
    gen. nonlinear two-sided inequalities:         1478 (           0)
Number of nonzeros in Jacobian:                  243790 (      251031)
Number of nonzeros in Hessian:                        0 (           0)

  Iter      Objective      FeasError   OptError    ||Step||    CGits 
--------  --------------  ----------  ----------  ----------  -------
       0    5.896938e-01   5.897e-01
       1    1.346509e-01   5.651e+00   1.177e+05   5.553e+00        1
       2    3.424118e-01   6.129e+01   5.264e+05   1.731e+01        7
       3    1.626399e-01   3.021e+02   2.787e+05   4.999e+01       10
       4    1.722703e-01   2.974e+02   5.089e+05   8.977e+00       17
       5    2.121443e-01   1.574e+02   7.494e+05   1.065e+01        6
       6    3.107237e-01   1.636e+02   6.811e+05   9.784e+00        4
       7    5.354162e-01   9.073e+01   2.173e+05   1.526e+01        4
       8    7.101952e-01   9.973e+01   2.431e+05   1.368e+01        4
       9    1.159466e+00   5.826e+01   5.783e+05   1.619e+01        4
      10    1.559585e+00   6.853e+01   1.953e+05   1.563e+01        4
      11    2.197974e+00   7.839e+01   3.273e+05   2.595e+01        4
      12    2.253371e+00   7.737e+01   4.317e+05   3.904e+00       50
      13    2.326965e+00   7.141e+01   9.705e+05   3.698e+00       50
      14    2.410367e+00   7.058e+01   7.833e+05   3.899e+00       50
      15    2.568579e+00   5.208e+01   1.046e+06   5.739e+00       50
      16    2.778750e+00   5.167e+01   4.811e+05   7.662e+00       50
      17    3.165014e+00   5.162e+01   5.347e+05   1.115e+01       44
      18    3.679092e+00   5.156e+01   8.847e+05   9.892e+00       50
      19    4.394670e+00   5.064e+01   1.117e+06   1.313e+01       50
      20    5.433223e+00   5.134e+01   1.255e+06   1.593e+01       50
      21    6.451357e+00   5.210e+01   1.154e+06   1.363e+01       50
      22    7.676444e+00   5.362e+01   7.983e+05   1.452e+01       50
      23    8.782346e+00   5.300e+01   1.137e+06   1.076e+01       50
      24    1.010987e+01   5.330e+01   1.029e+06   1.194e+01       50
      25    1.225021e+01   5.441e+01   8.116e+05   1.680e+01       50
      26    1.349926e+01   5.410e+01   9.642e+05   8.728e+00       50
      27    1.457836e+01   5.228e+01   2.078e+06   7.415e+00       50
      28    1.610218e+01   5.185e+01   1.057e+06   9.940e+00       50
      29    1.790806e+01   5.173e+01   1.336e+06   1.154e+01       50
      30    1.997632e+01   5.221e+01   3.187e+06   1.292e+01       50
      31    2.194660e+01   4.845e+01   3.207e+06   1.269e+01       50
      32    2.375066e+01   4.924e+01   4.241e+06   1.216e+01       50
      33    2.524770e+01   4.949e+01   5.989e+06   1.045e+01       50
      34    2.625128e+01   4.949e+01   7.023e+06   7.339e+00       50
      35    2.723317e+01   4.925e+01   5.047e+06   6.300e+00       50
      36    2.860608e+01   4.916e+01   6.323e+06   7.615e+00       52
      37    3.048726e+01   4.890e+01   5.458e+06   1.076e+01        9
      38    3.200317e+01   4.909e+01   5.921e+06   8.211e+00       52
      39    3.381410e+01   4.941e+01   6.575e+06   9.698e+00       12
      40    3.520825e+01   4.990e+01   7.332e+06   7.221e+00       11
      41    3.698430e+01   5.052e+01   7.829e+06   1.081e+01       39
      42    3.846800e+01   5.076e+01   3.715e+06   8.262e+00       52
      43    4.026088e+01   4.577e+01   5.057e+06   9.201e+00       14
      44    4.250847e+01   4.648e+01   4.915e+06   1.266e+01       50
      45    4.522503e+01   4.238e+01   1.313e+07   1.404e+01       50
      46    4.758520e+01   4.279e+01   5.541e+06   1.205e+01       50
      47    4.919871e+01   4.286e+01   6.848e+06   8.243e+00       50
      48    5.147388e+01   4.350e+01   3.216e+06   1.100e+01       52
      49    5.267248e+01   4.305e+01   3.087e+06   5.532e+00        2
      50    5.388523e+01   4.292e+01   4.751e+06   5.566e+00        4
      51    5.510461e+01   4.275e+01   5.451e+06   5.584e+00        4
      52    5.525438e+01   4.270e+01   5.572e+06   6.971e-01        8
      53    5.540360e+01   4.178e+01   4.285e+06   6.970e-01        3
      54    5.541985e+01   4.177e+01   4.315e+06   7.643e-02       14
      55    5.543615e+01   4.170e+01   4.323e+06   7.643e-02        2
      56    5.545036e+01   4.170e+01   4.900e+06   6.692e-02       11
      57    5.546171e+01   4.097e+01   4.984e+06   6.446e-02        4
      58    5.546322e+01   4.097e+01   4.987e+06   7.370e-03       12
      59    5.546417e+01   4.096e+01   4.989e+06   7.299e-03        1
      60    5.547290e+01   4.096e+01   4.999e+06   5.152e-02        1
      61    5.548996e+01   4.084e+01   5.008e+06   1.031e-01        1
      62    5.562507e+01   4.080e+01   5.381e+06   7.155e-01        8
      63    5.573452e+01   3.341e+01   5.206e+06   6.946e-01        8
      64    5.667110e+01   3.335e+01   6.938e+06   5.022e+00        2
      65    5.836688e+01   2.793e+01   6.010e+06   8.434e+00       14
      66    6.087323e+01   2.842e+01   5.928e+06   1.233e+01       50
      67    6.360323e+01   2.801e+01   5.186e+06   1.251e+01       50
      68    6.519606e+01   2.810e+01   8.051e+06   7.293e+00       52
      69    6.677193e+01   2.760e+01   7.177e+06   7.258e+00        1
      70    6.840549e+01   2.770e+01   8.287e+06   7.304e+00        3
      71    7.003575e+01   2.752e+01   8.231e+06   7.267e+00        2
      72    7.090011e+01   2.747e+01   8.389e+06   3.743e+00       33
      73    7.261285e+01   2.749e+01   9.450e+06   7.448e+00        2
      74    7.263958e+01   2.749e+01   9.473e+06   1.167e-01       14
      75    7.266651e+01   2.743e+01   9.443e+06   1.168e-01        2
      76    7.266662e+01   2.743e+01   9.441e+06   8.923e-04       12
      77    7.266670e+01   2.742e+01   9.437e+06   8.976e-04        1
      78    7.266695e+01   2.742e+01   9.435e+06   1.582e-03       10
      79    7.266716e+01   2.741e+01   9.455e+06   1.600e-03        1
      80    7.266717e+01   2.741e+01   9.454e+06   4.257e-05       27
      81    7.266717e+01   2.741e+01   9.455e+06   4.296e-05        1
      82    7.266719e+01   2.741e+01   9.454e+06   1.491e-04        2
      83    7.266720e+01   2.741e+01   9.455e+06   1.506e-04        1
      84    7.266720e+01   2.741e+01   9.455e+06   3.260e-05        6
      85    7.266721e+01   2.741e+01   9.455e+06   3.282e-05        1
      86    7.266723e+01   2.741e+01   9.454e+06   2.276e-04        1
      87    7.266725e+01   2.740e+01   9.455e+06   2.305e-04        1
      88    7.266725e+01   2.740e+01   9.455e+06   4.873e-08       16
      89    7.266725e+01   2.740e+01   9.455e+06   3.434e-07        1
      90    7.266725e+01   2.740e+01   9.455e+06   2.401e-06        1
      91    7.266725e+01   2.740e+01   9.455e+06   1.679e-05        1
      92    7.266726e+01   2.740e+01   9.455e+06   1.158e-04        1
      93    7.266727e+01   2.740e+01   9.455e+06   2.369e-04        1
      94    7.266733e+01   2.740e+01   9.453e+06   8.122e-04        5
      95    7.266740e+01   2.740e+01   9.452e+06   8.332e-04        1
      96    7.266785e+01   2.740e+01   9.453e+06   5.716e-03        5
      97    7.266830e+01   2.735e+01   9.433e+06   5.792e-03        3
      98    7.267150e+01   2.735e+01   9.408e+06   3.988e-02        8
      99    7.267150e+01   2.735e+01   9.408e+06   7.156e-08       46
     100    7.267150e+01   2.735e+01   9.408e+06   3.588e-08        2

EXIT: Iteration limit reached. Current point is infeasible.

Final Statistics
----------------
Final objective value               =   7.26715034444749e+01
Final feasibility error (abs / rel) =   2.73e+01 / 2.73e+01
Final optimality error  (abs / rel) =   9.41e+06 / 9.41e+06
# of iterations                     =        100 
# of CG iterations                  =       2215 
# of function evaluations           =        181
# of gradient evaluations           =        102
Total program time (secs)           =   19281.37695 (332288.844 CPU time)
Time spent in evaluations (secs)    =   19126.61719

===============================================================================

