WARNING: 2 finite variable bounds are >= bndrange in magnitude.
         These bounds will be treated as infinite in Knitro.
         To impose as finite bounds, increase bndrange user option.
WARNING: 2 finite constraint bounds are >= bndrange in magnitude.
         These bounds will be treated as infinite in Knitro.
         To impose as finite bounds, increase bndrange user option.

=======================================
          Commercial License
         Artelys Knitro 12.2.0
=======================================

Knitro presolve eliminated 0 variables and 1 constraint.

algorithm:               2
bar_feasible:            3
cg_maxit:               50
feastol_abs:             0.0001
maxit:                   200
opttol:                  0.0001
outlev:                  3
outmode:                 2
par_concurrent_evals:    0
Knitro changing bar_initpt from AUTO to 3.
Knitro changing bar_murule from AUTO to 1.
Knitro changing bar_penaltycons from AUTO to 2.
Knitro changing bar_penaltyrule from AUTO to 2.
Knitro changing bar_switchrule from AUTO to 0.
Knitro changing linesearch from AUTO to 1.
Knitro changing linsolver from AUTO to 4.

Problem Characteristics                                 (   Presolved)
-----------------------
Objective goal:  Minimize
Objective type:  general
Number of variables:                               7603 (        7603)
    bounded below only:                               0 (           0)
    bounded above only:                               0 (           0)
    bounded below and above:                       7602 (        7602)
    fixed:                                            0 (           0)
    free:                                             1 (           1)
Number of constraints:                             6880 (        8357)
    linear equalities:                                0 (           0)
    quadratic equalities:                             0 (           0)
    gen. nonlinear equalities:                     5401 (        5401)
    linear one-sided inequalities:                    0 (           0)
    quadratic one-sided inequalities:                 0 (           0)
    gen. nonlinear one-sided inequalities:            1 (        2956)
    linear two-sided inequalities:                    0 (           0)
    quadratic two-sided inequalities:                 0 (           0)
    gen. nonlinear two-sided inequalities:         1478 (           0)
Number of nonzeros in Jacobian:                  243790 (      251031)
Number of nonzeros in Hessian:                        0 (           0)

  Iter      Objective      FeasError   OptError    ||Step||    CGits 
      68    3.263262e+01   9.754e+00   3.894e+06   3.879e+00       18
      69    3.290836e+01   1.048e+01   2.791e+06   4.147e+00       40
      70    3.312920e+01   1.058e+01   4.603e+06   2.229e+00       17
      71    3.379279e+01   1.144e+01   4.575e+06   4.099e+00       50
      72    3.398989e+01   9.397e+00   4.960e+06   9.578e-01       50
      73    3.460617e+01   9.594e+00   5.487e+06   3.185e+00       50
      74    3.576205e+01   1.041e+01   5.156e+06   7.996e+00       50
      75    3.660254e+01   1.099e+01   3.757e+06   7.808e+00       50
      76    3.720238e+01   1.103e+01   2.329e+06   5.337e+00       50
      77    3.800205e+01   1.219e+01   4.007e+06   7.292e+00       50
      78    3.882354e+01   1.335e+01   4.995e+06   6.480e+00       50
      79    3.979013e+01   1.483e+01   4.694e+06   6.735e+00       50
      80    4.085351e+01   1.551e+01   5.725e+06   6.500e+00       50
      81    4.228433e+01   1.830e+01   6.079e+06   8.268e+00       50
      82    4.377009e+01   2.037e+01   6.917e+06   9.204e+00       50
      83    4.450924e+01   2.098e+01   5.288e+06   5.433e+00       50
      84    4.489667e+01   2.026e+01   3.940e+06   2.851e+00       50
      85    4.513839e+01   2.026e+01   3.794e+06   1.795e+00       46
      86    4.545525e+01   2.053e+01   1.006e+07   2.421e+00       19
      87    4.612591e+01   2.310e+01   1.362e+07   5.235e+00       54
      88    4.651402e+01   2.318e+01   1.128e+07   2.728e+00       34
      89    4.686922e+01   2.355e+01   7.157e+06   2.338e+00       23
      90    4.705207e+01   2.363e+01   6.244e+06   1.164e+00        6
      91    4.724171e+01   2.373e+01   4.858e+06   1.181e+00        4
      92    4.744073e+01   2.373e+01   8.072e+06   1.200e+00        2
      93    4.765066e+01   2.383e+01   6.657e+06   1.196e+00        4
      94    4.786654e+01   2.194e+01   4.566e+06   1.210e+00        2
      95    4.805696e+01   2.203e+01   4.556e+06   1.043e+00        9
      96    4.825454e+01   2.209e+01   5.248e+06   1.043e+00        4
      97    4.845828e+01   2.218e+01   5.308e+06   1.051e+00        2
      98    4.863747e+01   1.717e+01   4.094e+06   9.850e-01        3
      99    4.873178e+01   1.718e+01   4.025e+06   4.624e-01        5
     100    4.881243e+01   1.561e+01   3.553e+06   4.267e-01        2
     101    4.889597e+01   1.562e+01   4.028e+06   4.052e-01        8
     102    4.897184e+01   1.464e+01   2.832e+06   3.902e-01        2
     103    4.897413e+01   1.464e+01   2.833e+06   1.120e-02       16
     104    4.897582e+01   1.461e+01   2.574e+06   1.037e-02        1
     105    4.897811e+01   1.461e+01   2.523e+06   1.122e-02        7
     106    4.898002e+01   1.458e+01   2.524e+06   1.038e-02        1
     107    4.898089e+01   1.458e+01   2.521e+06   5.580e-03        3
     108    4.898137e+01   1.457e+01   2.512e+06   5.159e-03        1
     109    4.898279e+01   1.457e+01   2.506e+06   1.124e-02        1
     110    4.898366e+01   1.454e+01   2.544e+06   1.035e-02        1
     111    4.898697e+01   1.454e+01   2.557e+06   2.244e-02        5
     112    4.898945e+01   1.448e+01   2.711e+06   2.122e-02        2
     113    4.899603e+01   1.448e+01   2.810e+06   4.457e-02        8
     114    4.900114e+01   1.437e+01   2.780e+06   4.186e-02        2
     115    4.900795e+01   1.437e+01   3.028e+06   4.476e-02       15
     116    4.901474e+01   1.431e+01   3.010e+06   4.401e-02        4
     117    4.902738e+01   1.431e+01   3.021e+06   8.963e-02       11
     118    4.903625e+01   1.408e+01   2.929e+06   8.507e-02        6
     119    4.905880e+01   1.408e+01   3.006e+06   1.785e-01       10
     120    4.908329e+01   1.408e+01   2.956e+06   1.802e-01        7
     121    4.910810e+01   1.408e+01   2.960e+06   1.819e-01        4
     122    4.912829e+01   1.364e+01   2.752e+06   1.707e-01        3
     123    4.917571e+01   1.364e+01   3.104e+06   3.617e-01        5
     124    4.926813e+01   1.367e+01   3.094e+06   7.196e-01        5
     125    4.936458e+01   1.369e+01   3.105e+06   7.218e-01        4
     126    4.944291e+01   1.200e+01   2.579e+06   6.690e-01        3
     127    4.982642e+01   1.242e+01   2.783e+06   2.524e+00        4
     128    5.022219e+01   1.238e+01   2.988e+06   2.496e+00        2
     129    5.071001e+01   1.292e+01   3.389e+06   2.987e+00       13
     130    5.162467e+01   1.380e+01   4.115e+06   5.588e+00       24
     131    5.270096e+01   1.521e+01   2.919e+06   6.905e+00       50
     132    5.334054e+01   1.496e+01   2.698e+06   4.616e+00       52
     133    5.395845e+01   1.538e+01   2.674e+06   4.378e+00       53
     134    5.456620e+01   1.582e+01   4.235e+06   4.352e+00        3
     135    5.471152e+01   1.584e+01   4.098e+06   1.108e+00        6
     136    5.480041e+01   1.243e+01   4.109e+06   8.204e-01        8
     137    5.581269e+01   1.450e+01   3.519e+06   7.811e+00        3
     138    5.581624e+01   1.439e+01   3.525e+06   4.260e-02       24
     139    5.582375e+01   1.439e+01   3.526e+06   5.307e-02        1
     140    5.583399e+01   1.416e+01   3.518e+06   7.502e-02        3
     141    5.593787e+01   1.417e+01   3.514e+06   7.410e-01        4
     142    5.614940e+01   1.400e+01   3.380e+06   1.485e+00        4
     143    5.688284e+01   1.462e+01   3.378e+06   5.006e+00       16
     144    5.766423e+01   1.471e+01   3.396e+06   5.041e+00        2
     145    5.928014e+01   1.654e+01   3.761e+06   1.013e+01        1
     146    6.075906e+01   1.725e+01   2.389e+06   1.022e+01       32
     147    6.191671e+01   1.836e+01   2.877e+06   9.640e+00       39
     148    6.261138e+01   1.787e+01   4.004e+06   5.289e+00       40
     149    6.362939e+01   1.870e+01   5.794e+06   8.568e+00       17
     150    6.468873e+01   1.935e+01   5.569e+06   9.102e+00       30
     151    6.490642e+01   1.935e+01   3.780e+06   1.851e+00       13
     152    6.533892e+01   1.930e+01   3.504e+06   3.622e+00        5
     153    6.534232e+01   1.930e+01   3.651e+06   2.844e-02       39
     154    6.534794e+01   1.910e+01   3.626e+06   4.613e-02        3
     155    6.534794e+01   1.910e+01   3.633e+06   3.401e-06       21
     156    6.534794e+01   1.910e+01   3.632e+06   2.087e-05        1
     157    6.534794e+01   1.910e+01   3.632e+06   4.804e-05        3
     158    6.534795e+01   1.910e+01   3.634e+06   4.352e-05        1
     159    6.534795e+01   1.910e+01   3.634e+06   1.195e-05        5
     160    6.534795e+01   1.910e+01   3.635e+06   2.121e-05        1
     161    6.534795e+01   1.910e+01   3.635e+06   4.740e-05        2
     162    6.534795e+01   1.910e+01   3.636e+06   4.224e-05        1
     163    6.534795e+01   1.910e+01   3.637e+06   1.193e-05        5
     164    6.534795e+01   1.910e+01   3.637e+06   1.046e-05        1
     165    6.534795e+01   1.910e+01   3.637e+06   2.127e-05        2
     166    6.534796e+01   1.909e+01   3.640e+06   1.487e-04        2
     167    6.534796e+01   1.909e+01   3.640e+06   1.300e-06       10
     168    6.534796e+01   1.909e+01   3.640e+06   2.284e-06        1
     169    6.534796e+01   1.909e+01   3.640e+06   4.581e-06        1
     170    6.534796e+01   1.909e+01   3.640e+06   9.201e-06        1
     171    6.534796e+01   1.909e+01   3.641e+06   1.837e-05        1
     172    6.534796e+01   1.909e+01   3.641e+06   1.304e-04        2
     173    6.534796e+01   1.909e+01   3.641e+06   1.137e-06       12
     174    6.534796e+01   1.909e+01   3.641e+06   2.000e-06        1
     175    6.534796e+01   1.909e+01   3.641e+06   4.009e-06        1
     176    6.534796e+01   1.909e+01   3.641e+06   8.096e-06        1
     177    6.534796e+01   1.909e+01   3.641e+06   1.635e-05        1
     178    6.534796e+01   1.909e+01   3.641e+06   3.217e-05        1
     179    6.534796e+01   1.909e+01   3.641e+06   1.834e-05        3
     180    6.534796e+01   1.909e+01   3.641e+06   1.606e-05        1
     181    6.534796e+01   1.909e+01   3.641e+06   3.619e-05        1
     182    6.534796e+01   1.909e+01   3.641e+06   6.445e-05        1
     183    6.534796e+01   1.909e+01   3.641e+06   2.256e-06        7
     184    6.534796e+01   1.909e+01   3.641e+06   1.995e-06        1
     185    6.534796e+01   1.909e+01   3.641e+06   3.991e-06        1
     186    6.534796e+01   1.909e+01   3.641e+06   8.124e-06        1
     187    6.534796e+01   1.909e+01   3.641e+06   1.599e-05        1
     188    6.534796e+01   1.909e+01   3.641e+06   3.189e-05        1
     189    6.534797e+01   1.909e+01   3.641e+06   1.821e-05        3
     190    6.534797e+01   1.909e+01   3.641e+06   1.600e-05        1
     191    6.534797e+01   1.909e+01   3.641e+06   3.613e-05        3
     192    6.534797e+01   1.909e+01   3.641e+06   6.450e-05        1
     193    6.534797e+01   1.909e+01   3.641e+06   4.547e-06        6
     194    6.534797e+01   1.909e+01   3.641e+06   7.982e-06        1
     195    6.534797e+01   1.909e+01   3.641e+06   1.613e-05        1
     196    6.534797e+01   1.909e+01   3.641e+06   3.239e-05        1
     197    6.534797e+01   1.909e+01   3.641e+06   1.825e-05        3
     198    6.534797e+01   1.909e+01   3.641e+06   1.597e-05        1
     199    6.534797e+01   1.909e+01   3.641e+06   3.669e-05        1
     200    6.534797e+01   1.909e+01   3.641e+06   6.450e-05        1

EXIT: Iteration limit reached. Current point is infeasible.

Final Statistics
----------------
Final objective value               =   6.53479698937209e+01
Final feasibility error (abs / rel) =   1.91e+01 / 1.91e+01
Final optimality error  (abs / rel) =   3.64e+06 / 3.64e+06
# of iterations                     =        200 
# of CG iterations                  =       4372 
# of function evaluations           =        310
# of gradient evaluations           =        202
Total program time (secs)           =   34610.72266 (598845.062 CPU time)
Time spent in evaluations (secs)    =   34442.08594

===============================================================================

